DatasetIdentifier,DatasetDescriber,DatasetTitle,DatasetDescription,DataLandingPageURL,NotAccessibleData,InProgressDataDate,EVDescription,IndicatorDescription,SourceDatasetIdentifier,DataProviderAgent,DataContactAgent,FunderAgent,DataContributorAgents,Licence,DatasetCitation,Keywords,DataTypes,DatasetVersion,DataStartDate,DataEndDate,SpatialCoverageMarineRegion,SpatialCoverageWKT,CoordinateProjection,TaxonomicCoverage,VariablesMeasured,RelevantCitations
Task511_dataset29,CCB,,,http://www.emodnet-biology.eu/data-catalog?module=dataset&dasid=4451,,,,,,,,,,,,,,,,,,,,,,
Task511_dataset30,CCB,,,http://www.emodnet-biology.eu/data-catalog?module=dataset&dasid=4452,,,,,,,,,,,,,,,,,,,,,,
Task511_dataset31,CCB,,,http://www.emodnet-biology.eu/data-catalog?module=dataset&dasid=4463,,,,,,,,,,,,,,,,,,,,,,
Task511_dataset32,CCB,,,http://www.emodnet-biology.eu/data-catalog?module=dataset&dasid=4464,,,,,,,,,,,,,,,,,,,,,,
Task511_dataset33,CCB,,,http://www.emodnet-biology.eu/data-catalog?module=dataset&dasid=4466,,,,,,,,,,,,,,,,,,,,,,
Task511_dataset34,CCB,,,http://www.emodnet-biology.eu/data-catalog?module=dataset&dasid=4539,,,,,,,,,,,,,,,,,,,,,,
Task511_dataset35,CCB,,,http://www.emodnet-biology.eu/data-catalog?module=dataset&dasid=4540,,,,,,,,,,,,,,,,,,,,,,
Task511_dataset36,CCB,,,http://www.emodnet-biology.eu/data-catalog?module=dataset&dasid=4541,,,,,,,,,,,,,,,,,,,,,,
Task511_dataset37,CCB,,,http://www.emodnet-biology.eu/data-catalog?module=dataset&dasid=4687,,,,,,,,,,,,,,,,,,,,,,
Task511_dataset38,CCB,,,http://www.emodnet-biology.eu/data-catalog?module=dataset&dasid=490,,,,,,,,,,,,,,,,,,,,,,
Task511_dataset39,CCB,,,http://www.emodnet-biology.eu/data-catalog?module=dataset&dasid=5257,,,,,,,,,,,,,,,,,,,,,,
Task511_dataset40,CCB,,,http://www.emodnet-biology.eu/data-catalog?module=dataset&dasid=5394,,,,,,,,,,,,,,,,,,,,,,
Task511_dataset41,CCB,,,http://www.emodnet-biology.eu/data-catalog?module=dataset&dasid=5608,,,,,,,,,,,,,,,,,,,,,,
Task511_dataset42,CCB,,,http://www.emodnet-biology.eu/data-catalog?module=dataset&dasid=5612,,,,,,,,,,,,,,,,,,,,,,
Task511_dataset43,CCB,,,http://www.emodnet-biology.eu/data-catalog?module=dataset&dasid=5649,,,,,,,,,,,,,,,,,,,,,,
Task511_dataset44,CCB,,,http://www.emodnet-biology.eu/data-catalog?module=dataset&dasid=5651,,,,,,,,,,,,,,,,,,,,,,
Task511_dataset45,CCB,,,http://www.emodnet-biology.eu/data-catalog?module=dataset&dasid=5661,,,,,,,,,,,,,,,,,,,,,,
Task511_dataset46,CCB,,,http://www.emodnet-biology.eu/data-catalog?module=dataset&dasid=5663,,,,,,,,,,,,,,,,,,,,,,
Task511_dataset47,CCB,,,http://www.emodnet-biology.eu/data-catalog?module=dataset&dasid=5664,,,,,,,,,,,,,,,,,,,,,,
Task511_dataset48,CCB,,,http://www.emodnet-biology.eu/data-catalog?module=dataset&dasid=5666,,,,,,,,,,,,,,,,,,,,,,
Task511_dataset49,CCB,,,http://www.emodnet-biology.eu/data-catalog?module=dataset&dasid=5668,,,,,,,,,,,,,,,,,,,,,,
Task511_dataset50,CCB,,,http://www.emodnet-biology.eu/data-catalog?module=dataset&dasid=5685,,,,,,,,,,,,,,,,,,,,,,
Task511_dataset51,CCB,,,http://www.emodnet-biology.eu/data-catalog?module=dataset&dasid=5688,,,,,,,,,,,,,,,,,,,,,,
Task511_dataset52,CCB,,,http://www.emodnet-biology.eu/data-catalog?module=dataset&dasid=5693,,,,,,,,,,,,,,,,,,,,,,
Task511_dataset53,CCB,,,http://www.emodnet-biology.eu/data-catalog?module=dataset&dasid=5718,,,,,,,,,,,,,,,,,,,,,,
Task511_dataset54,CCB,,,http://www.emodnet-biology.eu/data-catalog?module=dataset&dasid=5725,,,,,,,,,,,,,,,,,,,,,,
Task511_dataset55,CCB,,,http://www.emodnet-biology.eu/data-catalog?module=dataset&dasid=5726,,,,,,,,,,,,,,,,,,,,,,
Task511_dataset56,CCB,,,http://www.emodnet-biology.eu/data-catalog?module=dataset&dasid=5727,,,,,,,,,,,,,,,,,,,,,,
Task511_dataset57,CCB,,,http://www.emodnet-biology.eu/data-catalog?module=dataset&dasid=5728,,,,,,,,,,,,,,,,,,,,,,
Task511_dataset58,CCB,,,http://www.emodnet-biology.eu/data-catalog?module=dataset&dasid=5758,,,,,,,,,,,,,,,,,,,,,,
Task511_dataset59,CCB,,,http://www.emodnet-biology.eu/data-catalog?module=dataset&dasid=5759,,,,,,,,,,,,,,,,,,,,,,
Task511_dataset60,CCB,,,http://www.emodnet-biology.eu/data-catalog?module=dataset&dasid=5760,,,,,,,,,,,,,,,,,,,,,,
Task511_dataset61,CCB,,,http://www.emodnet-biology.eu/data-catalog?module=dataset&dasid=5775,,,,,,,,,,,,,,,,,,,,,,
Task511_dataset62,CCB,,,http://www.emodnet-biology.eu/data-catalog?module=dataset&dasid=5971,,,,,,,,,,,,,,,,,,,,,,
Task511_dataset63,CCB,,,http://www.emodnet-biology.eu/data-catalog?module=dataset&dasid=5974,,,,,,,,,,,,,,,,,,,,,,
Task511_dataset64,CCB,,,http://www.emodnet-biology.eu/data-catalog?module=dataset&dasid=5975,,,,,,,,,,,,,,,,,,,,,,
Task511_dataset65,CCB,,,http://www.emodnet-biology.eu/data-catalog?module=dataset&dasid=5979,,,,,,,,,,,,,,,,,,,,,,
Task511_dataset66,CCB,,,http://www.emodnet-biology.eu/data-catalog?module=dataset&dasid=5980,,,,,,,,,,,,,,,,,,,,,,
Task511_dataset67,CCB,,,http://www.emodnet-biology.eu/data-catalog?module=dataset&dasid=5982,,,,,,,,,,,,,,,,,,,,,,
Task511_dataset68,CCB,,,http://www.emodnet-biology.eu/data-catalog?module=dataset&dasid=5983,,,,,,,,,,,,,,,,,,,,,,
Task511_dataset69,CCB,,,http://www.emodnet-biology.eu/data-catalog?module=dataset&dasid=5984,,,,,,,,,,,,,,,,,,,,,,
Task511_dataset70,CCB,,,http://www.emodnet-biology.eu/data-catalog?module=dataset&dasid=5985,,,,,,,,,,,,,,,,,,,,,,
Task511_dataset71,CCB,,,http://www.emodnet-biology.eu/data-catalog?module=dataset&dasid=5986,,,,,,,,,,,,,,,,,,,,,,
Task511_dataset72,CCB,,,http://www.emodnet-biology.eu/data-catalog?module=dataset&dasid=5987,,,,,,,,,,,,,,,,,,,,,,
Task511_dataset73,CCB,,,http://www.emodnet-biology.eu/data-catalog?module=dataset&dasid=5989,,,,,,,,,,,,,,,,,,,,,,
Task511_dataset74,CCB,,,http://www.emodnet-biology.eu/data-catalog?module=dataset&dasid=5991,,,,,,,,,,,,,,,,,,,,,,
Task511_dataset75,CCB,,,http://www.emodnet-biology.eu/data-catalog?module=dataset&dasid=5992,,,,,,,,,,,,,,,,,,,,,,
Task511_dataset76,CCB,,,http://www.emodnet-biology.eu/data-catalog?module=dataset&dasid=5993,,,,,,,,,,,,,,,,,,,,,,
Task511_dataset77,CCB,,,http://www.emodnet-biology.eu/data-catalog?module=dataset&dasid=5994,,,,,,,,,,,,,,,,,,,,,,
Task511_dataset78,CCB,,,http://www.emodnet-biology.eu/data-catalog?module=dataset&dasid=5995,,,,,,,,,,,,,,,,,,,,,,
Task511_dataset79,CCB,,,http://www.emodnet-biology.eu/data-catalog?module=dataset&dasid=5996,,,,,,,,,,,,,,,,,,,,,,
Task511_dataset80,CCB,,,http://www.emodnet-biology.eu/data-catalog?module=dataset&dasid=601,,,,,,,,,,,,,,,,,,,,,,
Task511_dataset81,CCB,,,http://www.emodnet-biology.eu/data-catalog?module=dataset&dasid=602,,,,,,,,,,,,,,,,,,,,,,
Task511_dataset82,CCB,,,http://www.emodnet-biology.eu/data-catalog?module=dataset&dasid=6021,,,,,,,,,,,,,,,,,,,,,,
Task511_dataset83,CCB,,,http://www.emodnet-biology.eu/data-catalog?module=dataset&dasid=6022,,,,,,,,,,,,,,,,,,,,,,
Task511_dataset84,CCB,,,http://www.emodnet-biology.eu/data-catalog?module=dataset&dasid=6025,,,,,,,,,,,,,,,,,,,,,,
Task511_dataset85,CCB,,,http://www.emodnet-biology.eu/data-catalog?module=dataset&dasid=6026,,,,,,,,,,,,,,,,,,,,,,
Task511_dataset86,CCB,,,http://www.emodnet-biology.eu/data-catalog?module=dataset&dasid=6027,,,,,,,,,,,,,,,,,,,,,,
Task511_dataset87,CCB,,,http://www.emodnet-biology.eu/data-catalog?module=dataset&dasid=6204,,,,,,,,,,,,,,,,,,,,,,
Task511_dataset88,CCB,,,http://www.emodnet-biology.eu/data-catalog?module=dataset&dasid=6282,,,,,,,,,,,,,,,,,,,,,,
Task511_dataset89,CCB,,,http://www.emodnet-biology.eu/data-catalog?module=dataset&dasid=6386,,,,,,,,,,,,,,,,,,,,,,
Task511_dataset90,CCB,,,http://www.emodnet-biology.eu/data-catalog?module=dataset&dasid=6401,,,,,,,,,,,,,,,,,,,,,,
Task511_dataset91,CCB,,,http://www.emodnet-biology.eu/data-catalog?module=dataset&dasid=6449,,,,,,,,,,,,,,,,,,,,,,
Task511_dataset92,CCB,,,http://www.emodnet-biology.eu/data-catalog?module=dataset&dasid=6450,,,,,,,,,,,,,,,,,,,,,,
Task511_dataset93,CCB,,,http://www.emodnet-biology.eu/data-catalog?module=dataset&dasid=6452,,,,,,,,,,,,,,,,,,,,,,
Task511_dataset94,CCB,,,http://www.emodnet-biology.eu/data-catalog?module=dataset&dasid=6454,,,,,,,,,,,,,,,,,,,,,,
Task511_dataset95,CCB,,,http://www.emodnet-biology.eu/data-catalog?module=dataset&dasid=6456,,,,,,,,,,,,,,,,,,,,,,
Task511_dataset96,CCB,,,http://www.emodnet-biology.eu/data-catalog?module=dataset&dasid=6458,,,,,,,,,,,,,,,,,,,,,,
Task511_dataset97,CCB,,,http://www.emodnet-biology.eu/data-catalog?module=dataset&dasid=6460,,,,,,,,,,,,,,,,,,,,,,
Task511_dataset98,CCB,,,http://www.emodnet-biology.eu/data-catalog?module=dataset&dasid=6462,,,,,,,,,,,,,,,,,,,,,,
Task511_dataset99,CCB,,,http://www.emodnet-biology.eu/data-catalog?module=dataset&dasid=6505,,,,,,,,,,,,,,,,,,,,,,
Task511_dataset100,CCB,,,http://www.emodnet-biology.eu/data-catalog?module=dataset&dasid=6506,,,,,,,,,,,,,,,,,,,,,,
Task511_dataset101,CCB,,,http://www.emodnet-biology.eu/data-catalog?module=dataset&dasid=6507,,,,,,,,,,,,,,,,,,,,,,
Task511_dataset102,CCB,,,http://www.emodnet-biology.eu/data-catalog?module=dataset&dasid=6508,,,,,,,,,,,,,,,,,,,,,,
Task511_dataset103,CCB,,,http://www.emodnet-biology.eu/data-catalog?module=dataset&dasid=6511,,,,,,,,,,,,,,,,,,,,,,
Task511_dataset104,CCB,,,http://www.emodnet-biology.eu/data-catalog?module=dataset&dasid=6525,,,,,,,,,,,,,,,,,,,,,,
Task511_dataset105,CCB,,,http://www.emodnet-biology.eu/data-catalog?module=dataset&dasid=6541,,,,,,,,,,,,,,,,,,,,,,
Task511_dataset106,CCB,,,http://www.emodnet-biology.eu/data-catalog?module=dataset&dasid=6547,,,,,,,,,,,,,,,,,,,,,,
Task511_dataset107,CCB,,,http://www.emodnet-biology.eu/data-catalog?module=dataset&dasid=6577,,,,,,,,,,,,,,,,,,,,,,
Task511_dataset108,CCB,,,http://www.emodnet-biology.eu/data-catalog?module=dataset&dasid=6590,,,,,,,,,,,,,,,,,,,,,,
Task511_dataset109,CCB,,,http://www.emodnet-biology.eu/data-catalog?module=dataset&dasid=6659,,,,,,,,,,,,,,,,,,,,,,
Task511_dataset110,CCB,,,http://www.emodnet-biology.eu/data-catalog?module=dataset&dasid=6660,,,,,,,,,,,,,,,,,,,,,,
Task511_dataset111,CCB,,,http://www.emodnet-biology.eu/data-catalog?module=dataset&dasid=6666,,,,,,,,,,,,,,,,,,,,,,
Task511_dataset112,CCB,,,http://www.emodnet-biology.eu/data-catalog?module=dataset&dasid=6668,,,,,,,,,,,,,,,,,,,,,,
Task511_dataset113,CCB,,,http://www.emodnet-biology.eu/data-catalog?module=dataset&dasid=6671,,,,,,,,,,,,,,,,,,,,,,
Task511_dataset114,CCB,,,http://www.emodnet-biology.eu/data-catalog?module=dataset&dasid=6694,,,,,,,,,,,,,,,,,,,,,,
Task511_dataset115,CCB,,,http://www.emodnet-biology.eu/data-catalog?module=dataset&dasid=6698,,,,,,,,,,,,,,,,,,,,,,
Task511_dataset116,CCB,,,http://www.emodnet-biology.eu/data-catalog?module=dataset&dasid=6699,,,,,,,,,,,,,,,,,,,,,,
Task511_dataset117,CCB,,,http://www.emodnet-biology.eu/data-catalog?module=dataset&dasid=7868,,,,,,,,,,,,,,,,,,,,,,
Task511_dataset118,CCB,,,http://www.emodnet-biology.eu/data-catalog?module=dataset&dasid=7885,,,,,,,,,,,,,,,,,,,,,,
Task511_dataset119,CCB,,,http://www.emodnet-biology.eu/data-catalog?module=dataset&dasid=7891,,,,,,,,,,,,,,,,,,,,,,
Task511_dataset120,CCB,,,http://www.emodnet-biology.eu/data-catalog?module=dataset&dasid=8015,,,,,,,,,,,,,,,,,,,,,,
Task511_dataset121,CCB,,,http://www.emodnet-biology.eu/data-catalog?module=dataset&dasid=8016,,,,,,,,,,,,,,,,,,,,,,
Task511_dataset122,CCB,,,http://www.emodnet-biology.eu/data-catalog?module=dataset&dasid=8017,,,,,,,,,,,,,,,,,,,,,,
Task511_dataset123,CCB,,,http://www.emodnet-biology.eu/data-catalog?module=dataset&dasid=8018,,,,,,,,,,,,,,,,,,,,,,
Task511_dataset124,CCB,,,http://www.emodnet-biology.eu/data-catalog?module=dataset&dasid=8019,,,,,,,,,,,,,,,,,,,,,,
Task511_dataset125,CCB,,,http://www.emodnet-biology.eu/data-catalog?module=dataset&dasid=8020,,,,,,,,,,,,,,,,,,,,,,
Task511_dataset126,CCB,,,http://www.emodnet-biology.eu/data-catalog?module=dataset&dasid=8021,,,,,,,,,,,,,,,,,,,,,,
Task511_dataset127,CCB,,,http://www.emodnet-biology.eu/data-catalog?module=dataset&dasid=8023,,,,,,,,,,,,,,,,,,,,,,
Task511_dataset128,CCB,,,http://www.emodnet-biology.eu/data-catalog?module=dataset&dasid=8046,,,,,,,,,,,,,,,,,,,,,,
Task511_dataset129,CCB,,,http://www.emodnet-biology.eu/data-catalog?module=dataset&dasid=8059,,,,,,,,,,,,,,,,,,,,,,
Task511_dataset130,CCB,,,http://www.emodnet-biology.eu/data-catalog?module=dataset&dasid=8060,,,,,,,,,,,,,,,,,,,,,,
Task511_dataset131,CCB,,,http://www.emodnet-biology.eu/data-catalog?module=dataset&dasid=8070,,,,,,,,,,,,,,,,,,,,,,
Task511_dataset132,CCB,,,http://www.emodnet-biology.eu/data-catalog?module=dataset&dasid=8083,,,,,,,,,,,,,,,,,,,,,,
Task511_dataset133,CCB,,,http://www.emodnet-biology.eu/data-catalog?module=dataset&dasid=8155,,,,,,,,,,,,,,,,,,,,,,
Task511_dataset134,CCB,,,http://www.emodnet-biology.eu/data-catalog?module=dataset&dasid=8188,,,,,,,,,,,,,,,,,,,,,,
Task511_dataset135,CCB,,,http://www.emodnet-biology.eu/data-catalog?module=dataset&dasid=8192,,,,,,,,,,,,,,,,,,,,,,
Task511_dataset136,CCB,,,http://www.emodnet-biology.eu/data-catalog?module=dataset&dasid=8193,,,,,,,,,,,,,,,,,,,,,,
Task511_dataset137,CCB,,,http://www.emodnet-biology.eu/data-catalog?module=dataset&dasid=8198,,,,,,,,,,,,,,,,,,,,,,
Task511_dataset138,CCB,,,http://www.emodnet-biology.eu/data-catalog?module=dataset&dasid=8252,,,,,,,,,,,,,,,,,,,,,,
Task511_dataset139,CCB,,,http://www.emodnet-biology.eu/data-catalog?module=dataset&dasid=8253,,,,,,,,,,,,,,,,,,,,,,
